Date,GOOG,Mkt-RF,SMB,HML,RF,adjclose,SP500_return,bbr,pnlog,stock_return,y,FittedValues,AMZN,HAL,FB,DIS,XOM,MSFT,DB,KO,JPM,MCD,HSBC,AAPL,PFE,ABBV
2019-02-13,1120.16003417969,,,,,,,,,,,,1640.0,29.9660205841064,164.070007324219,108.869476318359,71.1519012451172,104.675476074219,8.39471340179443,47.8412246704102,99.1078872680664,167.869338989258,38.5109786987305,167.527786254883,39.7520408630371,
2019-02-14,1121.67004394531,,,,,,,,,,,,1622.65002441406,,163.949996948242,109.323928833008,71.1705703735352,104.763679504395,8.19811630249023,43.8056144714355,98.4637680053711,169.527313232422,38.5473670959473,168.138153076172,40.0094261169434,
2019-02-15,1113.65002441406,1.13,0.24,0.47,0.01,257.5565490722656,1.0897592456154293,63.1578947368421,-0.0054306563930429,1.0897592456154293,1.0896592456154293,1.0737134696785093,1607.94995117188,,162.5,111.230621337891,72.5142822265625,,8.65029048919678,43.4693183898926,101.472862243652,173.479461669922,38.9385757446289,167.764068603516,40.4193458557129,74.2138748168945
2019-02-19,1118.56005859375,0.19,0.28,0.29,0.01,258.002197265625,0.17302926093885063,71.1749069643807,0.0,0.17302926093885063,0.17292926093885064,0.1531348117598199,1627.57995605469,30.2523231506348,162.289993286133,112.139518737793,72.9995193481445,106.00830078125,8.46352195739746,43.0753593444824,101.117156982422,172.785415649414,37.774055480957,168.266098022461,40.6100006103516,73.9109573364258
2019-02-20,1113.80004882812,,,,,,,,,,,,1622.09997558594,30.8153762817383,162.559997558594,112.307464599609,73.2794570922852,105.457145690918,8.59131050109863,43.3347930908203,101.607460021973,,38.3290176391602,169.348968505859,,
2019-02-21,1096.96997070312,-0.37,-0.06,-0.21,0.01,257.6029968261719,-0.35555534569553515,79.1919191919192,0.0200822632312797,-0.35555534569553515,-0.35565534569553514,-0.3498072625694148,1619.43994140625,29.9469356536865,160.039993286133,112.910102844238,72.6169357299805,107.681449890137,8.51267147064209,44.0650482177734,101.395950317383,176.217025756836,38.0771026611328,168.394088745117,,72.2862396240234
2019-02-22,1110.36999511719,0.65,0.56,-1.46,0.01,259.2000427246094,0.6199640214260338,46.4242424242424,0.0008462381946938,0.6199640214260338,0.6198640214260338,0.5662834383356898,1631.56005859375,,161.889999389648,113.858512878418,73.1768112182617,109.216789245605,8.50284194946289,43.5077438354492,100.944107055664,176.564041137695,37.9837989807129,170.274307250977,,73.4519882202148
2019-02-25,1109.40002441406,0.15,-0.24,-0.18,0.01,259.55291748046875,0.136139929665946,36.9534555712271,-0.0314442350097421,0.136139929665946,0.13603992966594602,0.1791819921128638,1633.0,,164.619995117188,112.218551635742,73.2514724731445,109.826995849609,8.62080097198486,43.1810531616211,102.001617431641,176.02424621582,37.8718338012695,171.514663696289,41.0675811767578,73.699836730957
2019-02-26,1115.13000488281,-0.16,-0.63,-0.3,0.01,259.3671875,-0.0715576547055119,42.9663608562691,-0.0186156781673471,-0.0715576547055119,-0.0716576547055119,-0.0740226763598973,1636.40002441406,30.099630355835,164.130004882812,112.129638671875,73.4007720947266,110.584831237793,8.76824855804443,42.9408378601074,101.22290802002,176.602615356445,38.0304489135742,171.61311340332,41.0103759765625,73.9017715454102
2019-02-27,1116.05004882812,0.09,0.2,-0.11,0.01,259.2557067871094,-0.04298181044609661,47.8092783505155,-0.0118358299775026,-0.04298181044609661,-0.043081810446096616,0.0657492632521823,1641.08996582031,29.8228721618652,162.809997558594,111.418334960938,74.1566162109375,110.397834777832,8.95501613616943,,101.097930908203,176.747192382812,38.3756713867188,172.14469909668,40.9245872497559,72.8920745849609
2019-02-28,1119.92004394531,-0.31,0.02,-0.24,0.01,258.7729187011719,-0.1862208133894372,26.5765765765766,-0.0496460182813254,-0.1862208133894372,-0.18632081338943718,-0.30136166115681545,1639.82995605469,,161.449996948242,111.477607727051,73.7460327148438,110.260047912598,9.0828046798706,,100.328834533691,,38.0957679748535,170.451507568359,41.3249664306641,72.7360305786133
2019-03-01,1140.98999023438,0.72,0.29,-0.41,0.009,260.388671875,0.6243903658612604,43.289224952741,-0.0242758479806656,0.6243903658612604,0.6243003658612604,0.6681559154208567,1671.72998046875,,162.279998779297,112.633483886719,74.6511688232422,110.752151489258,9.13195419311523,,100.396133422852,,37.8904914855957,172.243118286133,41.3344955444336,73.5254364013672
2019-03-04,1147.80004882812,-0.52,-0.42,0.37,0.009,259.4415588378906,-0.36373050727953604,71.6446124763705,0.0,-0.36373050727953604,-0.363820507279536,-0.45095082090512245,1696.17004394531,,167.369995117188,112.94962310791,74.9404449462891,110.48641204834,9.04348468780518,43.8632698059082,100.165397644043,175.18537902832,37.955810546875,173.109436035156,41.0580406188965,72.9379653930664
2019-03-05,1162.03002929688,,,,,,,,,,,,1692.43005371094,,171.259994506836,112.623603820801,74.8284759521484,,9.00416564941406,,100.088478088379,175.922637939453,38.2543792724609,172.794403076172,40.8864517211914,
2019-03-06,1157.85998535156,-0.84,-1.26,0.07,0.009,257.51934814453125,-0.6056786867558395,100.0,0.0247451901971378,-0.6056786867558395,-0.6057686867558395,-0.657649741502508,1668.94995117188,27.683780670166,172.509994506836,113.463340759277,73.9793090820312,109.984474182129,9.01399612426758,,99.7135543823242,,38.2263870239258,171.800170898438,39.9045677185059,71.6804046630859
2019-03-07,1143.30004882812,-0.82,-0.06,-0.32,0.009,255.3651123046875,-0.8365335868412926,40.2247191011236,0.0051427939865082,-0.8365335868412926,-0.8366235868412927,-0.7881155624700711,1625.94995117188,26.8102645874023,169.130004882812,112.633483886719,74.8004837036133,108.645957946777,8.51267147064209,43.5077438354492,98.9925231933594,175.117462158203,38.1330833435059,169.811645507812,39.4565238952637,71.8181076049805
2019-03-08,1142.31994628906,-0.22,0.06,-0.17,0.009,254.8543701171875,-0.20000468462215704,90.0,0.0203421795171858,-0.20000468462215704,-0.20009468462215704,-0.21870123356879886,1620.80004882812,,169.600006103516,112.435897827148,73.7273712158203,108.764060974121,8.49301242828369,43.0849685668945,99.0309829711914,174.127990722656,38.1330833435059,170.215255737305,,71.2122802734375
2019-03-11,1175.76000976562,1.49,0.35,-0.54,0.009,258.550048828125,1.4501139255482132,88.6792452830189,0.0050406167005301,1.4501139255482132,1.4500239255482132,1.4106675752960158,1670.61999511719,26.7718677520752,172.070007324219,113.364547729492,74.4458847045898,111.047416687012,8.96484565734863,44.3725166320801,100.319221496582,175.660736083984,38.2637062072754,176.111877441406,39.5613822937012,71.6712417602539
2019-03-12,1193.19995117188,0.25,-0.27,-0.09,0.009,259.52508544921875,0.3771171676482332,61.0062893081761,0.0,0.3771171676482332,0.37702716764823324,0.2803297363248355,1673.09997558594,,171.919998168945,113.344795227051,74.6511688232422,111.824928283691,8.7092695236206,44.2476081848145,100.021194458008,176.388259887695,38.3196907043457,178.090576171875,39.7806396484375,72.2770690917969
2019-03-13,1193.31994628906,0.68,-0.32,0.08,0.009,261.2430114746094,0.6619498929812506,33.3333333333333,-0.005165812309844,0.6619498929812506,0.6618598929812506,0.7054030289000475,1690.81005859375,27.3574123382568,173.369995117188,112.712509155273,75.3137130737305,112.691024780273,8.90586757659912,,100.35767364502,176.611389160156,38.3663444519043,178.87809753418,40.0475578308105,72.4514694213867
2019-03-14,1185.55004882812,-0.1,-0.4,0.3,0.009,261.07574462890625,-0.06402729962381448,66.6666666666667,0.0,-0.06402729962381448,-0.06411729962381449,-0.04435396035990991,1686.21997070312,,170.169998168945,113.097816467285,75.0617599487305,112.779602050781,8.75841903686523,44.2946472167969,101.270973205566,177.271041870117,38.3849983215332,180.866607666016,39.2658653259277,73.3877487182617
2019-03-15,1184.4599609375,0.48,-0.27,-0.27,0.009,262.3656311035156,0.4940659946954584,100.0,0.0116387562468937,0.4940659946954584,0.49397599469545844,0.50436566569161,1712.35998535156,26.8486595153809,165.979995727539,113.57201385498,74.7911529541016,114.078750610352,8.72892951965332,,102.434234619141,179.783508300781,38.6369171142578,183.219360351562,,74.6636428833008
2019-03-18,1184.26000976562,0.46,0.13,0.43,0.009,263.3169250488281,0.3625832931361206,64.2424242424242,0.0041686031280336,0.3625832931361206,0.3624932931361206,0.4348618464121681,1742.15002441406,27.7125797271729,160.470001220703,111.754234313965,75.6589660644531,115.712516784668,9.10246467590332,44.0135612487793,103.049514770508,178.444808959961,38.7488822937012,185.089767456055,39.8569030761719,74.0302963256836
2019-03-19,1198.84997558594,-0.09,-0.38,-0.92,0.009,263.38226318359375,0.024813496038467164,24.6770025839793,-0.0372292665705054,0.024813496038467164,0.024723496038467165,-0.03705272374252187,1761.84997558594,,161.570007324219,108.671897888184,75.4630126953125,115.791259765625,8.8960371017456,44.1589508056641,102.674583435059,177.629943847656,38.6089324951172,183.622985839844,40.3240127563477,74.1863403320312
2019-03-20,1223.96997070312,-0.39,0.02,-1.02,0.009,262.5894775390625,-0.3010019106634454,90.0562851782364,0.030388597810538,-0.3010019106634454,-0.3010919106634454,-0.3792455133810576,1797.27001953125,28.8932666778564,165.440002441406,108.662017822266,75.8829193115234,115.663307189941,8.63063049316406,44.1298751831055,100.482650756836,179.434295654297,38.4503135681152,185.227584838867,40.2000846862793,73.8283538818359
2019-03-21,1231.5400390625,,,,,,,,,,,,1819.26000976562,,166.080001831055,107.348083496094,,118.320663452148,8.28658485412598,,98.8963928222656,180.792388916016,38.3196907043457,192.049560546875,40.3716773986816,
