"","index"
"312",2063.949951
"313",2059.73999
"314",2072.780029
"315",2066.129883
"316",2045.170044
"317",2066.659912
"318",2041.910034
"319",2047.599976
"320",2041.98999
"321",2061.719971
"322",2082.419922
"323",2082.780029
"324",2080.72998
"325",2094.340088
"326",2100.800049
"327",2102.399902
"328",2091.47998
"329",2091.580078
"330",2087.790039
"331",2091.699951
"332",2095.149902
"333",2075.810059
"334",2065.300049
"335",2081.429932
"336",2063.370117
"337",2051.120117
"338",2050.629883
"339",2057.139893
"340",2058.689941
"341",2084.389893
"342",2064.459961
"343",2064.110107
"344",2046.609985
"345",2066.659912
"346",2047.209961
"347",2047.630005
"348",2040.040039
"349",2052.320068
"350",2048.040039
"351",2076.060059
"352",2090.540039
"353",2090.100098
"354",2099.060059
"355",2096.949951
"356",2099.330078
"357",2105.26001
"358",2099.129883
"359",2109.409912
"360",2112.129883
"361",2119.120117
"362",2115.47998
"363",2096.070068
"364",2079.060059
"365",2075.320068
"366",2071.5
"367",2077.98999
"368",2071.219971
"369",2083.25
"370",2088.899902
"371",2085.449951
"372",2113.320068
"373",2037.410034
"374",2000.540039
"375",2036.089966
"376",2070.77002
"377",2098.860107
"378",2102.949951
"379",2088.550049
"380",2099.72998
"381",2097.899902
"382",2129.899902
"383",2137.159912
"384",2152.139893
"385",2152.429932
"386",2163.75
"387",2161.73999
"388",2166.889893
"389",2163.780029
"390",2173.02002
"391",2165.169922
"392",2175.030029
"393",2168.47998
"394",2169.179932
"395",2166.580078
"396",2170.060059
"397",2173.600098
"398",2170.840088
"399",2157.030029
"400",2163.790039
"401",2164.25
"402",2182.870117
"403",2180.889893
"404",2181.73999
"405",2175.48999
"406",2185.790039
"407",2184.050049
"408",2190.149902
"409",2178.149902
"410",2182.219971
"411",2187.02002
"412",2183.870117
"413",2182.639893
"414",2186.899902
"415",2175.439941
"416",2172.469971
"417",2169.040039
"418",2180.379883
"419",2176.120117
"420",2170.949951
"421",2170.860107
"422",2179.97998
"423",2186.47998
"424",2186.159912
"425",2181.300049
"426",2127.810059
"427",2159.040039
"428",2127.02002
"429",2125.77002
"430",2147.26001
"431",2139.159912
"432",2139.120117
"433",2139.76001
"434",2163.120117
"435",2177.179932
"436",2164.689941
"437",2146.100098
"438",2159.929932
"439",2171.370117
"440",2151.129883
"441",2168.27002
"442",2161.199951
